marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,review_length,length_bin,month,category
US,17153217,R2GWURP97Q0O72,B0086K0NH6,159380463,Up & Away [Explicit],Digital_Music_Purchase,2,3,6,False,False,Ink has a ways to go,"Up & Away, Kid Ink's debut studio album, suffers from yet another case of repetitious, attempted hit making, where almost every track sounds like it's been tailored for radio play and conformity to contemporary popular beats/sounds in order to get recognition. As such, it doesn't sound genuine and, at its worst, is a pale imitation of various popular rappers. A little Drake here, Chris Brown there, Wiz Khalifa over here, Usher over there, Kid Ink sounds at every turn like he's at a loss for any distinct voice/style of his own. The first four tracks (especially \""Is It You\"") contain nothing of note - rote and pedestrian in its description of how Ink is \""tryin' to get paid/blow up like the World Trade\"" are hilariously non-sensical (it's too stupid to be offensive) and with beats that hit like they're straight from the assembly line. A track like \""Drippin'\"" is a refreshing departure from the album's other trappings, minimal, deep bass, anchored by Ink's terse swagger - it's the type of sound he should pursue further, instead of insisting upon being an amalgamation of other, more distinct artists.",2012-06-19,187,medium,2012-06,music
US,50320026,R4UT96KEFSJDD,B005WWZUQ0,28899677,Battlefield 3,Digital_Video_Games,3,2,2,False,True,Graphics awesome...key binding issues terrible...Origin terrible,"Been playing BF since its infancy.  BF3 is obviously the greatest eye candy war game out there.  But the game play itself could not be any more frustrating for me simply because its so bug ridden due to its inability to handle key bindings.  And no, I'm not making this up or being a n00b.  I don't use ASWD for direction keys, I use the actual arrow keys on the right side of the keyboard.  I do this in ANY game I can bind the keys.  Been doing it for games like Half Life, BF2, COD, etc.  NEVER had had a problem.  Apparently, even though you can use these keys and the ones around them for other actions (DEL for jump, RCtrl for crouch, etc), the game has key sequences it wants to flash on the screen for you to do.  The opening scene where you jump on the train, it took me an HOUR to get the first door open.  Seriously!  I had to Google it.  I NEVER got prompted on the screen to hit [E] to grab the weapon and unwedge the door.  Why?  Because I use the END key to reload since it right above the arrow keys.  The game apparently has no ability to prompt you on the screen to hie [END] to open the door so you just stand there.  Hitting the [END] key does not do anything, even if you would think you could get around it.  And realize the only reason I know now that I was suppose to get prompted to do a key was because I watched a YouTube video of the scene!  I had to change my bindings for a couple of keys because of this issue.  But only after I would die 10 times in a row, get frustrated, watch a YouTube video, and then have to change my bindings.  And then I get prompted to hit a key and can proceed.  Really?  What kind of half assed coding is this for a game?  If you let me bind a key to an action in the menu, then shouldn't I be able to use it?  I would also have problems where I would get to another scene and just get a black screen.  I could fire my gun and hear things, but no video.  ANOTHER known issue!  The only way to get around it is to restart the level!  Really?Go back and do it all over because of a coding glitch?  The game play itself, the story arc, and the graphics engine just absolutely ROCK!!!  Its great!  But the frustrations of having to constantly start over because of coding bugs is inexcusable.  I also get crashes back to the stupid Origin browser screen.  I could write a whole other review on that junk, but I think enough has been said about it already.",2012-02-06,474,long,2012-02,games
US,32614102,R2JQ1MAW3KLAHG,B008JH5CVS,3523229,Lockout,Digital_Video_Download,1,0,5,False,False,As Fun As A Birthday Clown Without Makeup,"Guy Pearce is Snow, a sassy, irreverent CIA agent who is on the outs after being wrongly accused of murder ... in the future! Just before he is sentenced to 30 years of suspended animation in an orbiting Maximum Security space prison, said prison is inexplicably taken over by one inmate who manages to get a hold of a single ankle holster gun. (Maximum security, indeed.) Trapped along with the engineers and other faceless staff of the prison is the American President's daughter. Now the only one crazy enough to try to infiltrate the prison and retrieve the first daughter (as well as -- hopefully -- evidence that will exonerate him) is mouthy Mr. Snow.<br /><br />The glowing reviews on this site and elsewhere tell readers not to think too hard about the plot. One reviewer who might accuse me of \""artistic snootiness\"" writes, \""There are some plot holes and a few maguffins that will leave you scratching your head and wondering why events happened and why characters acted the way they did, but who cares? Have some fun with this romp and let your hair down.\"" Ah ha! That's my problem. My hair is up. Also, I care if movies have plot holes and inconsistent characters. I guess I'm kooky that way.<br /><br />Nuts to that. That's like telling me to \""just have fun\"" at a magic show when I can clearly see the rabbits trying to escape out of the magician's pants. If you're going to spend twenty million dollars to make a film, wouldn't you want it to be fun to watch AND make even just a small amount of sense? Unfortunately, this film is so teeming with lunacy that only those of you willing to register it on the lowest of brainwaves will have fun watching. I knew I was in trouble the moment the prison was taken over by a single inmate, who gets a single gun, and who manages to release all 499 of the other inmates merely by cracking a scientist's head against a glowing control panel. \""Where are all the guards?\"" I wondered. Why does that one gun shoot through that one window, but no other gun in the rest of the movie is able to even crack a pane of glass? Why does this station have automatic weapons that track and destroy spacecraft with the touch of a single, large, glowing silver button, but its orbit requires constant human reconfiguration or it falls out of the sky within an hour? Well, it IS a governmental building, I guess.<br /><br />The only fun to be had is in Pearce's acting. His character is no different than any other Will Smith/Bruce Willis hybrid you've seen before, but at least the seasoned actor appears to be having fun with his role. That's better than can be said for the wooden, one-note performances you get from virtually every single other character, with the biggest transgressor being the President, who appears to have taken his acting lessons from cold toast. Everything else, from the story to the characters to the canned dialogue to the hyper-frenetic editing is just one clumsily executed cliche after another. Even cliches can be fun, but when they are delivered with this kind of halfhearted awkwardness, they are less fun than embarrassing and -- eventually -- annoying.<br /><br />And hey, don't listen to those people who tell you to \""just have fun.\"" Perhaps they haven't heard of \""Moff's Law.\"" I quote, \""[W]hen you go out of your way to suggest that people should be thinking less -- that not using one's capacity for reason is an admirable position to take ... you are not saying anything particularly intelligent. And unless you live on a parallel version of Earth where too many people are thinking too deeply and critically about the world around them and what's going on in their own heads, you're not helping anything...\"" There are a lot of cheesy, enjoyable action films out there that aren't so ludicrously rife with poor writing, directing, and acting, and there's a big difference between \""letting down your hair\"" and putting up with crap just because it's loud, fast, sparkly and on fire. Even those of you who are only lookingfor a rip-roaring, high-octane, one-liner fest can do a WHOLE lot better than this weak excuse for a film.for a rip-roaring, high-octane, one-liner fest can do a WHOLE lot better than this weak excuse for a film.",2012-08-29,743,extra_long,2012-08,videos
US,12314082,R3B9GZ7DFIX4I,B008JH5CVS,3523229,Lockout,Digital_Video_Download,2,0,1,False,True,Bad movie,To dark and no plot I waste my money :-( don't rented wait in to come out at red box,2012-09-02,20,short,2012-09,videos
US,42060855,R2KJTE2580BC0U,B005LMOB70,79858647,Individual Software Anytime Organizer Deluxe 14,Digital_Software,1,13,14,False,True,Lacking functionality.  Dated User Interface.  Sync broken.,"I bought this software based on the claimed functionality that it syncs to Google Calendar and prints to Franklin Covey templates.  I read the other reviews stating that the software was broken but thought I would take a chance on it.  In hindsight, I should have trusted the other reviews.<br /><br />As other people have stated, the sync functionality just doesn't work.  I've tried multiple times to get it to sync either to Outlook or to Google Calendar.  In some cases it claims to sync without transferring any data.  Other times it just crashes.  I've never gotten it to actually transfer data.<br /><br />The calendar and to-do functionality is marginal at best.  Calendar entries lack basic fields such as Location.  To-do items have both a start date and a due date, but you can't enter the start date on the same window where you enter the task.  Instead, you have to right click on the task and click 'Reschedule'  Both the calendar and to-do list require numerous clicks or function-key presses to enter a single item.  I haven't bothered with the address book function.  I have hundreds of contacts and refuse to type them all in manually.<br /><br />The software offers a ton of different functions and print layouts, but it's all badly designed and difficult to use.  It's difficult and time-consuming to get data into the software, the screen design is straight out of Windows 95, and the printed output confounds you with hundreds of choices of badly designed pages.",2012-05-08,251,long,2012-05,software
US,14533426,R1Z9GBAGRCXOMY,B008EENUH4,826382847,How to Get Business Credit:  For the Entrepreneur,Digital_Ebook_Purchase,5,2,2,False,True,Good Solid Book,"This is a good solid book if you are trying to get credit for your business. I know this to be the case because I followed a very, very similar process to build thousands of dollars of business for my small business in about a year.<br /><br />Good Stuff.<br /><br />Keith Henry, N.D.",2012-08-30,53,medium,2012-08,ebooks
US,25700786,R1Q5AJT1FBIO35,B002VBWIP6,232803743,Xbox Live Subscription,Digital_Video_Games,2,0,1,False,True,gift card ORDER,"Ok, playing online for xbox is very fun. of course,you have to pay for xbox live gold. xbox live is pretty boring with a silver account, so gold is the way. i was pretty excited ordering this because it is my first time having my own gold account. since i chose email delivery, i expected it to be at my email by, at the most,about 8 o'clock. it is now the next morning at 10:17 and it said it just finished processing. The only bad thing is that it takes so long to get the code.",2012-01-02,96,medium,2012-01,games
US,28803023,R1N9ICJJCMEOIK,B005HYI7H2,120265227,Quicken Home & Business 2012 [OLD VERSION],Digital_Software,5,1,2,False,True,Quicken Home & Buisness,I have used quicken for the last 20 years and it has grown and gets better with each new addition.,2012-04-04,20,short,2012-04,software
US,45006446,R1Y2D8O90H9RW6,B006QKJZMW,12183242,Hostel: Part III (Unrated),Digital_Video_Download,3,8,8,False,False,bleedingfilms.com review of 'HOSTEL III',"The idea of human trafficking existing for the pleasure of the silent rich to torture is both believable and disturbing on many levels. It touches the nightmare of captivity and the absence of humanity, just pure evil for one's sick private world. Apparently Eli Roth who wrote and directed the first two Hostel films got the original idea when he came across an article that suggested destitute families in Thailand would sell family members to well financed criminals and in turn businessmen from Europe and the US would pay $10,000 to walk in a room and shoot the sold individuals in the head. Shocking and very upsetting.<br /><br />`Taken' (2008) gave us the action and the probability of how huge the human trafficking trade is in the world while the Hostel films just trims the fat off to give you the meat of unbearable acts one human can do to another who's strapped to a chair. Watching these films you can actually imagine the very real possibility of yourself being suddenly taken away and no one will know where you are and you can't escape. That is why this horror franchise stands above other lame film imitations. You will notice the influence of the brilliant `Hangover' films in this third instalment, it's almost a bloody carbon copy horror version of `The Hangover' (2009). The opening scene is great and unexpected, the ending could have been awesome. Unfortunately the makers decided to have a predicable comedy ending, just like so many other horror films do because they are fearful of taking risks. Giving the audience what they want instead of what they don't expect. I hate safe.<br /><br />Putting aside the awful ending I enjoyed this episode, Eli Roth was not involved so I was interested to see how this one would pan out. I love the concept of the `Elite Hunting Club' whereby members have the round bloodhound tattoo. For this film franchise it's a great private members club title with a consistent brand tattoo design. The Vegas environment here is a nice glitzy touch which is a visual contrast for when a lad's stag experience goes horribly wrong.<br /><br />The way the torture chambers are presented in this feature is the best in the trilogy. However, the actual torturing moments lacked the horrific impact of the first two. The first torture scene I found rather unbelievable, but hey, then again what do I know. I'm not in the medical profession nor am I a sicko psycho surgeon. So the nastiness is toned down here and it could have been really uncomfortable and imaginative if the right creative team was on board. Hostel III is gentle brutality compared to the other two but it did hold my attention. To bring the franchise way ahead of acceptable same old same old horror, if they make a fourth episode, whoever produces and directs need to create an experience that will be traumatic, unexpected and compelling. Or else it's best to leave the blu-ray box set as a trilogy.<br /><br />bleedingcritic<br />bleedingfilms.comuch which is a visual contrast for when a lad's stag experience goes horribly wrong.<br /><br />The way the torture chambers are presented in this feature is the best in the trilogy. However, the actual torturing moments lacked the horrific impact of the first two. The first torture scene I found rather unbelievable, but hey, then again what do I know. I'm not in the medical profession nor am I a sicko psycho surgeon. So the nastiness is toned down here and it could have been really uncomfortable and imaginative if the right creative team was on board. Hostel III is gentle brutality compared to the other two but it did hold my attention. To bring the franchise way ahead of acceptable same old same old horror, if they make a fourth episode, whoever produces and directs need to create an experience that will be traumatic, unexpected and compelling. Or else it's best to leave the blu-ray box set as a trilogy.<br /><br />bleedingcritic<br />bleedingfilms.com",2012-04-16,673,extra_long,2012-04,videos
US,19510824,R2IW9KFGWQG3SS,B0081U3X46,704638166,Amaranthine,Digital_Ebook_Purchase,3,0,0,False,False,Good Start To A Series.,"I am having a hard time reviewing this book, not because I didn't like it but because there were so many blaring similarities to Twilight that I find myself having a hard time liking what was original about the story. And there was some originality to it that was pretty great and interesting. So, yeah, see my dilema?<br /><br />I should start by saying that the cover of this book is just amazing. Truly gorgeous. I think it is very eye catching and just draws you in.<br /><br />The concept of a human with a gene that, if made a vampire would make her powerful and dangerous and therefore feared and of course a target for other vamps to go after, was fun and original and entertaining.<br />.<br />The varying cast of characters, again nice, but, the love interest, their romance and instant love for one another (willingness to forgive unthinkable acts and possessiveness from Nickolae), the battle with the vampires over Crimson (which is an awesome name for a character by the way), the mysterious leader of the vamps in a foreign country and his creepy sidekicks?<br /><br />Well sometimes it was just a little too much like Twilight for me and I found myself shaking my head at the likeness.<br /><br />I know, terrible of me but I couldn't help but feel that way, and I did like Twilight, don't get me wrong on that count, I just didn't want this to be so much like it and I don't even know if the author was aware that she was making so many similarities to be honest. They were pretty subtle sometimes.<br /><br />Don't get me wrong though, what was original about the story was good. The writing was fine and the characters were loveable, I especially liked Crimson and how feisty she was, but things, especially their love for one another, just moved way too fast for me. They were in love after one meeting, like crazy, sick in love. I think I would have liked to see their love grow a little over time.<br /><br />The story started off with a vampire stalking Crimson but we don't really get why or really learn anything about this vampire. In fact, it is easy to forget that he is even there since we see so little of him throughout the story. I would have liked to see that played out a little better than it was. I think it would have put a little more action into the story and spiced it up a little.<br /><br />The ending too was a little confusing. Why throw in her cousin Haley wondering about Crimson's safety? Was it a lead up to a sequel? It left me feeling a little lost.<br /><br />Overall though this was a fun fast read that I think lovers of Twilight will really enjoy and have a good time reading. The characters and storyline are different enough that it isn't too predictable or slow and it isn't a rip of the Meyer's work.<br /><br />If there is going to be a sequel I would be really interested to see what happens next and see if some of the similarities of other series die down and little and this takes on more of a life of its own.<br /><br />I think the author has great potential and has come up with something interesting and fun to read about that any lover of vamps and the paranormal will enjoy.ally get why or really learn anything about this vampire. In fact, it is easy to forget that he is even there since we see so little of him throughout the story. I would have liked to see that played out a little better than it was. I think it would have put a little more action into the story and spiced it up a little.<br /><br />The ending too was a little confusing. Why throw in her cousin Haley wondering about Crimson's safety? Was it a lead up to a sequel? It left me feeling a little lost.<br /><br />Overall though this was a fun fast read that I think lovers of Twilight will really enjoy and have a good time reading. The characters and storyline are different enough that it isn't too predictable or slow and it isn't a rip of the Meyer's work.<br /><br />If there is going to be a sequel I would be really interested to see what happens next and see if some of the similarities of other series die down and little and this takes on more of a life of its own.<br /><br />I think the author has great potential and has come up with something interesting and fun to read about that any lover of vamps and the paranormal will enjoy.",2012-06-03,800,extra_long,2012-06,ebooks
US,50881246,R17XEDCBL301GN,B0057UIV9K,685470948,Season of the Witch,Digital_Video_Download,2,0,0,False,False,We found a witch! May we burn her?,"\""Season of the Witch\"" is one of those movies that probably would have gone straight to SyFy/Sci-Fi, if it didn't have an A-list actor attached. It's a murky, rather rushed historical creep-out that blossoms into silly horror at the end, after a long journey where not very much happens. Ron Perlman is awesome, though.<br /><br />Disgusted with the slaughter of the Crusades, knights Behmen (Nicholas Cage) and Felson (Perlman) desert the army to return home to... somewhere. I think it's England, but I'm not sure.<br /><br />They arrive in a town infested with the Black Death, and are quickly arrested. But the local bishop (Christopher Lee) offers them a way to clean their slates -- take a witch (Claire Foy) who is blamed for the plague to a distant abbey where she will be depowered courtesy of an ancient spellbook. The embittered Behman doesn't believe she's a witch, but he agrees nevertheless.<br /><br />Along with a priest, a soldier, a swindler and an altar boy who dreams of knighthood, the two knights take the suspected witch on the perilous journey. But soon Behman starts to suspect that there's something unnatural about her -- she has super-strength, summons wolves, and even makes one man hallucinate right to his death. But no one can guess the horrific truth about what she is until they reach the abbey.<br /><br />\""Season of the Witch\"" isn't a horrible film, but it is resolutely mediocre -- it has the feel of a movie where nobody was really trying very hard. In fact, the first three-fourths of the movie just sort of ooze by with lots of dirty medieval villages, spooky hints about the witch girl, and lots of misty forests full of giant wolves.<br /><br />Even the cameramen and screenwriters aren't trying too hard. It's almost impossible to see what the heck is going on in the fight scenes, except that there are lots of swords and leaves. The dialogue is pretty standard buddy-cop stuff, and is laid out in a hodgepodge of inconsistent accents. Are these Crusaders SUPPOSED to sound so American?<br /><br />The movie does pick up for about ten minutes when the characters reach the abbey -- storms of darkness, zombie monks, incantations, and a decent Linda Blair impression. The problem is.... we see the bad guy. And it looks RIDICULOUS -- I've seen Star Trek prosthetics that were scarier than that, especially when it starts flitting, scuttling and spinning around the place.<br /><br />The acting is pretty lackluster -- Cage is phoning in his performance, and most of the supporting characters are so blandly underdeveloped that you can't really care when they get offed. I will say that Stephen Campbell Moore does a decent job as a priest whose faith helps him overcome his fear, and Robert Sheehan and Claire Foy are very earnest in their roles. Oh, and Ron Perlman is lots of fun as Felson. It's pretty obvious he knows he's in a stinker, so he decides to have fun with his laid-back, fun-loving character.<br /><br />\""Season of the Witch\"" could have been a semi-decent horror thriller if it had kept the bad guy hidden, but that makes the entire climax fall apart.up for about ten minutes when the characters reach the abbey -- storms of darkness, zombie monks, incantations, and a decent Linda Blair impression. The problem is.... we see the bad guy. And it looks RIDICULOUS -- I've seen Star Trek prosthetics that were scarier than that, especially when it starts flitting, scuttling and spinning around the place.  The acting is pretty lackluster -- Cage is phoning in his performance, and most of the supporting characters are so blandly underdeveloped that you can't really care when they get offed. I will say that Stephen Campbell Moore does a decent job as a priest whose faith helps him overcome his fear, and Robert Sheehan and Claire Foy are very earnest in their roles. Oh, and Ron Perlman is lots of fun as Felson. It's pretty obvious he knows he's in a stinker, so he decides to have fun with his laid-back, fun-loving character.  \""Season of the Witch\"" could have been a semi-decent horror thriller if it had kept the bad guy hidden, but that makes the entire climax fall apart.",2012-02-23,711,extra_long,2012-02,videos
US,32946821,R1L6KCFWRYZUXX,B007T2WNHA,268899793,Total Eclipse,Digital_Music_Purchase,1,0,35,False,False,Absolute Garbage,"I was looking for some new jazz music and came accross this. I'm not sure how to catorize this compilation of second rate (And that's being extremely generous) , Talentless, Middle-School sounding N-O-I-S-E (No way you can call this music). How this artist ever got his music on amazon.com is beyond my comprehension. If you are looking for anything close to professional grade Jazz music, R U N  F R O M  T H I S  GARBAGE!!!!!!!! I had to stop playing this cd and shut down the stereo for good - it would simply made my life a little simpler and happier, put in a Kenny G cd instead. Kenny G is the man who can \""play\"" anything with emotion. Compare those songs on Ralph's cd and Kenny G's great song \""Joy of Life\"", then you will see the way Kenny G uses his saxophone magic to reach everyone's heart, with joy and class. Only the child would be listen to and fool by this kind of music.<br /><br />To the artist Bowen : Please don't give up your day job!!!!  And do us all a favor and get something above grade-school level training before abusing  anyone else ears with your unprofessional NOISE.",2012-08-30,204,long,2012-08,music
US,38214553,R3I3SNSR47ZOCQ,B0068JCIC0,100313224,The Very Best Of,Digital_Music_Purchase,3,1,1,False,False,"A 5-Star Collection In terms Of Quality - But Not Her ""Very Best""","If you're looking for the six hit singles registered on Columbia by Jill Corey - born Norma Jean Speranza on September 30, 1935 in Avonmore, Pa.) - from 1954 to 1958, in one volume, keep looking. Nothing out there at the moment has gathered those hits together, never mind their B-sides, not even this 26-track mp.3 collection optimistically - but way off the mark - labelled \""The Very Best Of.\"" In fact, the ONLY such hit included here is Big Daddy, her last in September 1958 which hit # 96 Billboard Pop Top 100 on Columbia 41202 with the backing of the Glenn Osser orchestra (the flip, Wherefore Art Thou, Romeo, is omitted).<br /><br />After that she left the business when she married Pittsburgh Pirate Don Hoak, and only returned to music after Hoak died of a heart attack following 8 years of marriage (they had a daughter, Clare). She would, however, never attain another hit single.<br /><br />Her interest in music began at a young age when she began emulating one of her favorites, Carmen Miranda, but at age 13, winning a number of talent shows and eventually landing her own radio show. When Columbia major-domo Mitch Miller heard a tape, he recommended she audition for both Arthur Godfrey and Dave Garroway and ultimately, although both showed interest, she chose Garroway's offer (a wise choice considering the later actions of the ego-maniac Godfrey and his public firing over the air of Julius LaRosa). It was Garroway who suggested the stage name Jill Corey.<br /><br />In January 1954, at age 19, she registered her first hit single when Robe Of Calvary made it to # 22 Pop with the support of the Percy Faith orchestra on Columbia 40123 b/w Minneapolis. After that the hits were hard to come by, but in late 1956/early 1957 - and right at the start of the R&R Era - her cover of the 1926 Fred Waring & His Pennsylvanians' hit, I Love My Baby (My Baby Loves Me) got as high as # 22 on Columbia 40794 billed as Jill Corey with Jimmy Carroll. The B-side was Egghead. The same billing then had a two-sided charter in April 1957 with Let It Be Me, a French tune whose English version by Jill had been introduced on the CBS TV series Climax. It peaked at # 57 in May and would later be covered with varying degrees of success by The Everlly Brothers, Betty Everett & Jerry Butler, Arthur Prysock, The Sweet Inspirations, Glen Campbell & Bobbie Gentry, and Willie Nelson. The flip, Make Like A Bunny Honey on Columbia 40878, finished at # 95.<br /><br />Under her own billing, but still accompanied by the Carroll orchestra, she then had her best hit ever with the August 1957 # 11 Love Me To Pieces, which she had also performed on the July 15, 1957 Studio One Summer Theatre Production with the same title.  On Columbia 40955, the flip was Love. About a year later she had her final hit as mentioned above.<br /><br />Her TV work included the Garroway, Robert Q. Lewis, Ed Sullivan and Johnny Carson variety shows, as well as her own featured programs, and she was one of the vocalists in the last days of Your Hit Parade. Her only appearance in a feature film came in 1959 in the Columbia musical  Senior Prom.<br /><br />It is frustrating for hits collectors such as myself to see several Jill Corey compilations available, NONE of which make any attempt to include her charted titles. What you get here is of good quality, and certainly show off her vocal talents. But they are NOT her \""very best\"" by any definition of the term.ng then had a two-sided charter in April 1957 with Let It Be Me, a French tune whose English version by Jill had been introduced on the CBS TV series Climax. It peaked at # 57 in May and would later be covered with varying degrees of success by The Everlly Brothers, Betty Everett & Jerry Butler, Arthur Prysock, The Sweet Inspirations, Glen Campbell & Bobbie Gentry, and Willie Nelson. The flip, Make Like A Bunny Honey on Columbia 40878, finished at # 95.<br /><br />Under her own billing, but still accompanied by the Carroll orchestra, she then had her best hit ever with the August 1957 # 11 Love Me To Pieces, which she had also performed on the July 15, 1957 Studio One Summer Theatre Production with the same title.  On Columbia 40955, the flip was Love. About a year later she had her final hit as mentioned above.<br /><br />Her TV work included the Garroway, Robert Q. Lewis, Ed Sullivan and Johnny Carson variety shows, as well as her own featured programs, and she was one of the vocalists in the last days of Your Hit Parade. Her only appearance in a feature film came in 1959 in the Columbia musical  Senior Prom.<br /><br />It is frustrating for hits collectors such as myself to see several Jill Corey compilations available, NONE of which make any attempt to include her charted titles. What you get here is of good quality, and certainly show off her vocal talents. But they are NOT her \""very best\"" by any definition of the term.",2012-08-04,879,extra_long,2012-08,music
US,14463936,R2O2SGVTOKHQLI,B006XFALZ0,956844762,The Missing,Digital_Music_Purchase,4,0,0,False,False,Great debut album.,"Review by Matthew Forss<br />  Rating: 4.5 stars (out of 5)<br /><br />  Anthony Nesossis (pronounced Knee-so-sis) is an artistic visionary with an ear for the auditory. The musical medium of choice is primarily in the electronic and techno realm with equal doses of spacey atmospherics and robotic voices. Anthony transcends normal innovation by breaking borders and rules regarding electronic forays into spacey, dance music.<br /><br />  \""Future Past\"" opens with a few seconds of crinkly, electronic noise before a swishy, but steady percussion beat takes over. Soon after, a few, deep bellows off-set the shaker-like sound quality of the hi-hat accompaniment. A reverberating keyboard signals a new musical direction for the song which seems like it is going into a full-on rave beat. However, the reverberations end with a robotic voice saying `future,' before the steady, yet swishy, metallic beat commences with only slight interruptions throughout. For instance, the robotic, `future' voice only shows up a few times before the end of the song is signaled by the same robotic voice saying, `the past is not the future.' \""Signs of Life\"" opens with fast-paced, metallic displays of radio-frequency bleeps seemingly emanating from an alien starship floating through the universal abyss. The sound is briefly accompanied by a few piercing synth sounds that continue along with the steady, dance beat that emerges within the first minute. The dance beat contains a few, metallic tube sounds that border on punchy flutes. The danceable track surely shows signs of life from the first few notes.<br /><br />  \""Dreams of Earth\"" begins with a cascading sound of metallic noise amidst a foreground of steady, electronic percussion. The rather rudimentary beat is livened with scintillating sounds of metallic beauty that make it a little more interesting. \""Sun Will Shine\"" is a down-tempo hit an Air or Zero 7-esque beat with fluid keyboards, languid percussion, and atmospheric washes. Bubbly water noises break up the sound with some robotic voices. The track is a little short--at only three-minutes--but the time seems to linger on and on, which is a very good quality. \""Let The Sun In (Como Los Rayos Del Sol)\"" opens with spacious, atmospheric sounds and echoing, electric, female vocals that are spoken words; rather than singing. The techno beat includes some washes and metallic tones that might be heard on an alien spaceship--or video game soundtrack from planet Earth.<br /><br />  \""Awakening\"" almost sounds like a rock song without guitars. The percussive beat begins after a mix of insect or nature sounds becomes amplified and then fades away. The percussive beat is probably the most adventurous on this track. There are hints of conga or bongo type sounds with the bass lines and cascading, electronic sounds throughout. The track ends with the same insect or nature sounds heard in the beginning. \""And Then It Rained (Original Mix feat. Kevin Beale)\"" opens with a few, bass-heavy and pensive notes with a clap of thunder and rain sound at the beginning of a robotic voice that reads Biblical-type lines. The blurby electronic noises are accompanied by a jazzy, drum-kit repertoire with swishy noises and metallic pings. \""Signs Of Life (Xavier Mathias Mix)\"" is the final track that differs from the other track with the same name by a more techno-focused composition with a little funk thrown in for good fun.<br /><br />  The Missing is an intelligible product of human achievement that contains techno-dance grooves, spacey electronica, and percussive beats that can get any party started. The few electronic vocals used sporadically throughout the album makes the music flow without any issues. Despite similar-sounding beats on some of the tracks, Anthony knows how to mix it up with electronic embellishments. The Missing is appropriately-titled, because this is what music fans are missing from their collections. This is perfect for fans of down-tempo, techno, electronic, and dance music.",2012-05-02,641,extra_long,2012-05,music
US,31054028,R2NDF37LC9JJYB,B001XRSB3C,926654852,Green Grass and High Tides Forever (Live),Digital_Music_Purchase,1,25,35,False,False,Don't buy this!,"This is Henry Paul dancing on Hughie Thomason's grave and ripping off his widow. This song was written and performed by the original Outlaw himself, Hughie Thomasson. Henry Paul has been in out of the Outlaws 4 or more times, while gone; Hughie pushed on, after many of the original band members left, Hughie was the only one keeping the band alive. The last two times Henry Paul rejoined, Hughie owned the name and the rights to the Outlaws. Henry was brought back as a player in Hughie' band and signed agreements in both 1985 and 2005 that he had no control or use of the band and name the Outlaws. Henry re-joined for a 30th anniversary reunion tour at Hughie's request in 2005 and again signed an agreement that he had no claims to the band or name Outlaws. Henry's stint with the reunion Outlaws of 2005 was short lived, he left as soon as he found out that his old band Blackhawk was signed to a new record deal. Well that fell through and Henry was out of a job again. All along, Hughie played on with a reunited Outlaws band with some old band mates and some new players.<br /><br />Then one night in September 2007, after having dinner with his wife, Hughie suffered a fatal heart attack and died peacefully in his sleep.<br /><br />At Hughie's funeral, Henry Paul had the nerve to concoct a plan to steal the Outlaws name away from its rightful owner, Hughie's wife, Mary Thomasson.<br /><br />At first, Henry was respectful and paid the Thomasson estate royalties for using the name, but then the black hole of a soul in Henry started to kick in. Henry started re-recording old Outlaws standards and releasing them on iTunes.<br /><br />Unsuspecting fans would buy an Outlaws song that had been sung by Hughie, only to find this new version with Henry Paul on lead.<br /><br />Now don't get me wrong, I like Henry's voice on many of Henry's songs, Gunsmoke, Freeborn man, Girl from Ohio and my favorite, Song in the Breeze.<br /><br />But to hear Henry sing Hughie's songs? Not at all appealing to me, two totally different sounds, Henry, please stop trying to sing Hughie's songs, at least find a singer with a similar voice to Hughie!<br /><br />Anyway, Henry started doing these nefarious things and when Mary Thomasson asked him to stop, not only did he keep on, but also he stopped paying her for the Outlaws name, had the Webmaster change the password and steals the Outlaws Website!<br /><br />Long story short, both sides lawyer up, went to court over this and in my total disbelief, Mary Thomasson lost, even with the legal papers Henry signed stating he had no rights to the Outlaws in both 1985 and 2005.<br /><br />Total injustice!<br /><br />So now, Henry is living off the name and reputation of our dear departed members and thumbing his nose at the Thomasson family!<br /><br />Do not buy this nor buy tickets to any of their live shows, you will be supporting at best the worst manors I have ever seen in the music business.<br /><br />What not just tour as the Henry Paul Band?",2012-08-26,537,extra_long,2012-08,music
US,20592922,R1TT3MDB6DNRKC,B0089ISB2Y,797963280,Mac The Fire Truck and The Snow Cone Stand Fire (The Adventures of Mac The Fire Truck Book 4),Digital_Ebook_Purchase,5,0,0,False,True,Great pictures and story,"I purchased this book for my son after I purchased the Big Rig fire book by the same author.  This story, while not as insanely funny as the big rig book, is still hilariously creative.  And in the summer, what's better than fire trucks and snow cones.  Not to repeat myself, but the pictures in this book were amazing and that alone makes it great for kids.  The story is good and is just icing on the cake.",2012-07-12,78,medium,2012-07,ebooks
US,13898242,R2IOQKK92S6HSO,B008SCMUUA,832031006,Norton Internet Security 2013 - 1 User / 3 PC,Digital_Software,4,1,1,False,True,Working with no problems,"I was using NIS 2012 last year, renewed and installed on 2 laptops now. NIS 2013 is working on both machines with no issues till date.",2012-12-28,26,short,2012-12,software
